DIRCON,NOMBRE_OPERADOR,OPERADOR,DANE DEPARTAMENTO,DEPARTAMENTO,DANE MUNICIPIO,MUNICIPIO,DANE CENTRO POBLADO,CENTRO POBLADO,ESTADO,COORDENADAS DE REFERENCIA LATITUD,COORDENADAS DE REFERENCIA LONGITUD,INICIO DE OPERACIÓN,FECHA FIN OPERACIÓN,FECHACORTE,VIGENCIA],N° USUARIOS ACTIVOS MES,TRAFICO MENSUAL (GB),VELOCIDAD SUBIDA (Mb),VELOCIDAD BAJADA (Mb),INVERSIÓN
72362,RED DE INGENIERIA S.A.S.,804012847-1,20,CESAR,20032,ASTREA,20032000,VDA LA PUERTA,DESCONECTADA,"9,57194444","-73,92638889",2020-08-09,2022-02-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71863,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73504,ORTEGA,73504008,OLAYA HERRERA,DESCONECTADA,"3,94250000","-75,15222000",2019-11-28,2021-08-27,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71841,RED DE INGENIERIA S.A.S.,804012847-1,73,TOLIMA,73001,IBAGUE,73001018,EL RODEO,DESCONECTADA,"4,54139000","-75,07611000",2019-12-02,2021-09-01,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71519,RED DE INGENIERIA S.A.S.,804012847-1,47,MAGDALENA,47288,FUNDACION,47288000,VEREDA KILOMETRO 25,DESCONECTADA,"10,35917000","-74,05528000",2019-11-26,2021-08-25,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72400,EMTEL,891502163-1,81,ARAUCA,81794,TAME,81794000,ANGOSTURAS,DESCONECTADA,"6,63583300","-71,79425000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,1559,"68,83",11,10,"119630563,20"
72555,EMTEL,891502163-1,44,LA GUAJIRA,44847,URIBIA,44847000,C CERRO DE LA TETA,DESCONECTADA,"11,69098000","-71,92512000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,1796,"43,90",10,10,"119630563,20"
71032,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05315,GUADALUPE,5315000,VEREDA GUANTEROS,DESCONECTADA,"6,84583000","-75,22389000",2019-12-09,2021-09-08,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71089,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15183,CHITA,15183000,EL MORTI�AL,DESCONECTADA,"6,21194000","-72,48278000",2019-12-10,2021-09-09,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71416,RED DE INGENIERIA S.A.S.,804012847-1,25,CUNDINAMARCA,25580,PULI,25580005,TALIPA,DESCONECTADA,"4,73556000","-74,73083000",2019-12-10,2021-09-09,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72083,RED DE INGENIERIA S.A.S.,804012847-1,13,BOLIVAR,13212,CORDOBA,13212008,TACAMOCHO,DESCONECTADA,"9,47805556","-74,80055556",2020-08-24,2022-02-23,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72095,RED DE INGENIERIA S.A.S.,804012847-1,15,BOYACA,15494,NUEVO COLON,15494000,EL UVO,DESCONECTADA,"5,38166667","-73,43583333",2020-08-07,2022-02-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71527,RED DE INGENIERIA S.A.S.,804012847-1,50,META,50577,PUERTO LLERAS,50577004,CA�O RAYADO,DESCONECTADA,"3,08750000","-73,22611000",2019-12-07,2021-09-06,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71595,RED DE INGENIERIA S.A.S.,804012847-1,54,NORTE DE SANTANDER,54385,LA ESPERANZA,54385005,EL TROPEZ�N,DESCONECTADA,"7,94722000","-72,60528000",2019-12-04,2021-09-03,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72365,RED DE INGENIERIA S.A.S.,804012847-1,47,MAGDALENA,47245,EL BANCO,47245006,CORREGIMIENTO MENCHIQUEJO,DESCONECTADA,"9,18888889","-74,04277778",2020-08-19,2022-02-18,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72493,EMTEL,891502163-1,27,CHOCO,27787,TADO,27787005,GUARATO,DESCONECTADA,"5,35416700","-76,20444000",2020-09-04,2022-06-30,2022-10-30,2022-12-31,1383,"79,32",11,10,"119630563,20"
71039,RED DE INGENIERIA S.A.S.,804012847-1,05,ANTIOQUIA,05837,TURBO,5837012,PUEBLO BELLO,DESCONECTADA,"8,20389000","-76,52667000",2019-12-02,2021-09-01,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
72010,RED DE INGENIERIA S.A.S.,804012847-1,23,CORDOBA,23660,SAHAGUN,23660000,LOS PLACERES DE DONDE GABRIEL,DESCONECTADA,"8,89250000","-75,35556000",2019-12-03,2021-09-02,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
71703,RED DE INGENIERIA S.A.S.,804012847-1,68,SANTANDER,68549,PINCHOTE,68549000,EL BOSQUE,DESCONECTADA,"6,50944000","-73,15389000",2019-12-08,2021-09-07,2022-10-30,2022-12-31,0,",00",0,9,"27007797,00"
